iter	Passed	Remaining
0	1	158
1	2	143
2	4	141
3	5	137
4	7	136
5	8	135
6	10	135
7	11	134
8	12	131
9	14	129
10	15	128
11	17	129
12	19	129
13	21	130
14	22	128
15	23	125
16	25	122
17	26	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	110
23	34	108
24	35	106
25	36	104
26	38	103
27	39	101
28	41	100
29	42	98
30	43	96
31	44	95
32	45	93
33	46	91
34	48	89
35	49	87
36	50	85
37	51	84
38	52	82
39	53	80
40	55	79
41	56	77
42	57	76
43	58	74
44	60	73
45	61	71
46	62	70
47	63	69
48	64	67
49	66	66
50	67	64
51	68	63
52	69	61
53	70	60
54	72	59
55	73	57
56	74	56
57	75	54
58	76	53
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
